序号,企业名称,统一社会信用代码,经营状态,成立日期,营业期限,注册资本(万),法定代表人,省份地区,注册地址,国标行业-门类,国标行业-大类,国标行业-中类,联系电话
1,华县小米养鸡场,91610521MA6Y22WU42,存续,2016-03-07, 至 无固定期限,100,崔进才,陕西省 渭南市 华州区,陕西省渭南市华州区莲花寺镇西寨村二组,农、林、牧、渔业,畜牧业,鸡的饲养,13220033875
2,南昌市小米网吧,91360102MA35U7W97N,存续,2017-04-01, 至 无固定期限,20,罗群,江西省 南昌市 东湖区,江西省南昌市东湖区象山北路222号,租赁和商务服务业,商务服务业,其他未列明商务服务业,17777777777
3,温岭小米期鞋厂,91331081689143289X,存续,2009-05-22, 至 无固定期限,3,赵鹤霖,浙江省 台州市 温岭市,温岭市城北街道山头赵村B区30号,制造业,皮革、毛皮、羽毛及其制品和制鞋业,皮鞋制造,13626689118
4,许昌市小米网吧,91411000MA40TYQD78,存续,2017-04-11, 至 无固定期限,30,王鹤翔,河南省 许昌市 魏都区,许昌市东城区许都路永丰新城19幢3层S1号,文化、体育和娱乐业,娱乐业,网吧活动,13183039990
5,深圳小米熊诊所,91440300MAD8KMQG3K,存续,2024-01-16, 至 无固定期限,50,胡平,广东省 深圳市 南山区,深圳市南山区粤海街道龙城社区南海大道2502号雅仕荔景苑B205,卫生和社会工作,卫生,门诊部（所）,--
6,任丘市小米酒店,91130982MA0D2J6Q25,存续,2018-12-14, 至 无固定期限,20,陆芳,河北省 沧州市 任丘市,任丘市建设路72号(总部桥头东200米路南),住宿和餐饮业,住宿业,其他一般旅馆,15233176222
7,山西沁州黄小米(集团)沁县小米加工有限公司,91140430743504066T,存续,2002-08-08, 至 2025-03-27,500,裴雪峰,山西省 长治市 沁县,沁县迎春河北路1号,制造业,农副食品加工业,杂粮加工,0355-7026893
8,广州俞小米美食店,91440101MA9W18H67K,存续,2020-11-30, 至 无固定期限,1,俞隆鸿,广东省 广州市 天河区,广州市天河区先烈东路159号12栋102房,批发和零售业,批发业,其他未列明批发业,18922259381
9,民权县小米粒网吧,91411421MA46BGKM0N,存续,2019-02-19, 至 无固定期限,60,刘霞,河南省 商丘市 民权县,民权县绿洲街道商城路北段150号,信息传输、软件和信息技术服务业,互联网和相关服务,其他互联网服务,13619875918
10,小米,小米,小米,小米,,,,,,,,,
